Interactor 1	Interactor 2
peb	l(2)k06617
Prosβ2	HDAC6
H	nej
Prosβ6|Prosβ2	lncRNA:Hsrω
flr	GMF
Su(Tpl)|lilli	Cdk9
DCTN2-p50	Rab5
tow	zip
gcm	ttk
Pink1	APP-BP1
Snr1	gpp
smo	E(smoDN)2619
Smox	O-fut1
brm	mura
mbf1	apt
rho	Sos
dpp	sog|tsg
Ras85D	Pten|p53|Med
CycA	bam
pnr	EP344
asrij	Drp1
Zip89B	Zip42C.1
p53	ago
RacGAP84C	cdi
Gug	dachs
scrib	kune::α-Cat
LIMK1	SCAR
Rac1	Dark
wts	Wbp2
Delta	Liprin-α
nej	sty
comm	kuz
pbl	B4
Plc21C	Gαq
NPFR	Akh
sev	mTor
dachs	Fbxl7
piwi	CycJ|armi
H	l(2)k10113
dom	ERR
Aplip1	wnd
Tm1|osk	vas
Ccdc56	mtTFB1
Hsc70-5	Atg101
Abl::Hsap\ABL1::Hsap\BCR	fra
Cul5	wg
dpp	Gyc76C
Myc	Atg8a
peb	retn
TBPH	CG30122
arr	puc
osk	Su(osk)M26
bocks	Diap1
egr|CtBP	upd2|upd3
Pi3K92E	RpL5
wit	Mip|Pburs
Zif	aPKC
bsk	Hsp26
Dg	Pgk
upd1	Csk
pbl	crol
sgg	CRMP
sev|Ras85D	pnt
Bx	nmd
Tsc1	Uba5|Ufl1
Eogt|Dcr-2	wb
Rac1	Tlk
sina	ed
peb	Hel25E
Su(H)	gro
slo	rut
gig	bun
nod	sub
U2af50	RpS19a
wnd	bsk
Iml1	Nprl2
N	N::Mmus\Notch1
Marcal1	ash1
hop	dind
Tcs5	Rac1
rl	Gug
pnr	emc
Psn	Mettl2
RYBP	slmb
Ret	Csk
fj	dachs
egl	BicD
Ephrin	Reph
cac|GluRIIA	Csp
Asx	Sce
RYBP	SkpA
z	mxc
sev	rl
LIMK1	Pkn
sev	Dsor1
pbl	Rok
prom|eys	sqh
Pi3K92E|btl::Egfr	egr
Dsor1	Su(phl)4
Pvr	Pi3K92E
hiw	Fmr1
Bx	St3
Graf	spi
Tsc1|gig	Pten
ksr::tor	Dsor1
w	E(w<up>a</up>)761
Rac1	cpo
H	wdb
Xbp1	Keap1
hop	Raf
baz	CG1951
Lam	key
arm	SCAR
H	kibra
Ret	l(3)j2D5
MetRS-m	Cs1
E2f1	Su(E1)-N
lola|psq|Delta	bsk
sna	sna::wor
pnr	Hr4
numb	Caf1-55
park	sfl
hyd	hh
E2f1	AGO1
cm	w|Vps35
park	foxo
bw	HmgD
btl|stumps	btl::Egfr
Acn	CG15035
Ras85D|scrib	shg
fz	ck
hep	NLaz
w	Su(var)205
ogre	ogre::shakB
pths	shrb
ast	E(S)
ph-p|y	Su(y)P22
Ssdp	pnr
ap	Kat60
CycE	Trl
per	dco
pnr	chn
RanGAP	Su(Sd)4a-2
Pc	wg
sno	N
bw	sle
Pka-C1	dpp
CycE	Pc
knrl	kay
cwo	per
Rbp9	cup
raptor	hppy
WASp	wit
bchs	Sumo
smo	E(smoDN)2576
Ras85D|fmt	bsk
brm|lawc	trx
hid	Myo31DF
w	su(Hw)
mus304	PolA1
Atf3	Rel
krz	smo
lap	nuf
puc|tkv	hep
Ras85D	bun
Ras85D|l(2)gl|upd1	upd2
cm	w
glo	otu
mop	ex
ninaE|norpA	Rh7
park	crc
yki	sqh
Pvr	Isha
mir-315	Axn
ft	wap
shtd	stg
lace	hiw
bw	Mod(Prat:bw)1-4
Btk	CycE
Abl|trio	ena
aos	E-3c1
Pi3K92E|btl::Egfr	grnd
Dref	pigeon
β-Spec	Dhc64C
da	dpn
Dad	arm
faf	Prosβ6
park	Uch|Pyk
LIMK1	sif
nej	lncRNA:Hsrω
wg	eca
elfless	eff
Snr1	pdm2
Dcp-1	Atg8a
Su(H)	vg
scrib|cno	Akt
N	frc
Pcl	mxc
asp	mad2
Su(var)2-1	mod(mdg4)
Rac1	Mbs
trx|ash1	Pcl
Delta|Not3	Fancl
kni	eg
nuf	l(2)gl
pyd	emc
Ras85D|scrib	E2f1
bchs	spin
yki	Hrb27C
Egfr	Socs36E
Wnt5	fz
Syx7	aPKC
RhoGAPp190	Rho1
rg	Su(H)
PGRP-LB	PGRP-SD
dgo	Mks1
Sh|eag	mle
N	Myc|Pink1
Gr61a|Gr5a	Gr64e|Gr64a
trc	blw
moi	mei-41
pb	ey
grim	mir-14
tara	Cdk1
Smox	CG15152
ct	heph
Su(H)	E(Egfr)C22
raw	Tak1
Pi3K92E|btl::Egfr	mTor
rod	puc|lic
SMC1	babo
dpy	Yif1
Src64B	sina
cup	Dad
Pten	rictor
pzg	H
shg	dgo
Kdm5	Stat92E
egr	G87
lok	SNF4Aγ
w	E(w<up>a</up>)829
l(2)gd1	tkv
Antp	ci
tral	Fmr1
M(2)56F	RpS12
L	RhoGAP68F
Hs6st	β3GalTII
Dp|E2f1	shd
tld	tok
wts	ex
Det	Incenp
trx|brm	Su(z)6
Ubqn	TBPH
seq	CadN
Ras85D	EY3-5
vg	E2f1
hbs	N
Fcp1	p53
Pgant4	Tango1
arm	l(2)dC9
fz	bdg
Mkp3	Duox
aos|sty	rho-5
ry	ZnT63C
gfzf	Marf
mxc	Scm
Sema1a	if
sav	CtBP
lin-52	Diap1
Pi3K92E|btl::Egfr	dap
vtd	Rel
Sxl|snf	TrpRS
smo	Trs20
spin	Mad
trio	ena
ttk	CtBP
bw	asf1
Pink1	Itpr
Hk	qvr
pzg	PCNA
Imp	msi
wdb	mts
piwi	ova
CycE	E(Sev-CycE)E19
InR	Pdk1
Not1	Prosap
msn	Jra
egr	Hsp60D
ttv	β3GalTII
S	zip
mTor	Acn
trx|brm	mxc
Pten	Ras85D
Sbds	eIF6
sli	scb
Delta|lola|psq	Hsc70-5
r	e(r)
Bx	Mf
Dsor1	Su(phl)9
peb	ps
Sesn	gig
pnr	EP417
klu	brat
sens	S(ls)6
Gclc	ATP7
Pi3K92E	E-2fa
Tsc1	E2f1|Rbf
robo1|sli	Tace
Blos1	Arpc1
shi	pk
bdl	Lar
w	ox
Myc	dia
Bub3	okr
Dcp-1	Delta
PolA1|mei-41	CycB
tll|erm	Doc2|otp
Mtpβ	asRNA:CR43467
Tace	Psn
Klp10A	wts
Egfr	spen
su(Hw)|ct	sd
COX5B	Wwox
pins	meru
vtd	Tl
cno	sdk
elav	elav::Hsap\ELAVL4
S	ml
Ras85D	SM3-8
TFAM	L2HGDH
H	Dad
Atg9	InR
hid	cos
nanos	hid
orion	EcR
Apc2|Apc	bsk
nmo	Dad
LIMK1	Rho1
ninaE	ninaD
Dg	POSH
Set1	htt
Ras85D	ago
Raf::tor	lilli
y	e(y)3
spz5	CaMKII
sno	vg
ro	E(ro<up>DOM</up>)50
mbl	amos
GlyRS	CG15599
Ras85D	ksr
LIMK1	tsr
Culd	Arr1
Ankle2	l(2)gl
awd	tkv
EP3617	CycE
smo	E(smoDN)2364
g	aux
kon	eya
Pc	l(3)80Fj
ced-6	drpr
N	sAB1
Atg8a	Nuak
gcm	esg
Myc	nclb
ap	Xbp1
Smox	Thg
Yif1	N
Cyp18a1	ftz-f1
L	aop
da	ato
svp	RasGAP1
bw	Acf
Csk	tum
Dref	bsk
Dcr-2|Arf6	Efa6
lola|psq|Delta	YL-1
Marcal1	brm
upd1	heca
hpo	sd
smi27E	Pino
Egfr	kay
RhoGAPp190	Src64B
norpA	Cys
ato	ptc
Bace	Appl
neur	α4GT1
Pak	kst
nmo	tkv
Shrm	zip
cin	Mocs1
DnaJ-1	N
sd	Haspin
Su(Raf)43B	cnk
tefu	stg
Ire1	Diap1
Nab2	pk
Snr1	Dlst
Ret	bon
Rala	bsk
fra	Src42A
smo	eRF1
erm	pros
jus	SLO2
Su(Tpl)|lilli	E(spl)mγ-HLH
peb	Col4a1
robo3	Ptp69D
sna	noc
Smox	DJ-1α
rpr	Akh
Csk	Btk
Delta	Mp20
ZnT86D	Zip89B
tsl	fs(1)N
fh	Fer1HCH|Fer2LCH
ct|lncRNA:flam	AstC-R2
His1	puc
bnl	csw
EcR	Mical
H	cv-d
Nab2	Pabp2
Nsf2	ubl
bip1	Pvr
Cdk7	hay
slbo	mbc
Rbf	dap
Smox	CG3649
Usp12-46	N
pnr	tyn
Ddrgk1	Patj
tkv	vg
Egfr	Su(tor)3-1
px	nmo
hdm	mei-218
Pect	Syt1
ct	hry
Raf	Bap170
Eb1|tau|msps	shot
Abl|Khc	ena
aos	SM3-2
MAPk-Ak2	Tak1
smo	E(smoDN)986
Usp47|rl	poe
dup	Myc
MAGE	tefu
puc|egr	lncRNA:Hsrω
fs(1)K10	grk
da|Sxl	fl(2)d
Rab7	EndoB
N	anon-XV
Myc	PEK
Nsf2	Syb
Eaat1	GluRIID
tud	rump
hng1	tsh
ro	Su(ro<up>DOM</up>)2014
btl|stumps	MESR4
aop	Taf4
N	phyl
Klf15	SPARC
eas	Top1
smo	E(smoDN)1644
Kap-α3	Pen
Schip1	wts
mbl	Ref1
Fas3	RhoGAP68F
HUWE1	p53
tws	nbs
pnut	bsk
Ras85D	stg
jus	cpo
pbl	east
CanB|Pp2B-14D	pnt
Lsd-2	foxo
Debcl	Rpn10
btl|stumps	robo2
Arr2	lace
ND-42	Eato
hop	ecd
DAAM	Tm2
COX5A	PPP1R15
CycD|Cdk4	mRpL12
eas	Mdr65
brat	fru
mbl	Elp3
norpA	lace
DAAM|Rac1	Rac2
ph-p	Su(Pc)35CD
ebi	puc
Ret	scrib
E2f1	Su(E1)-K
Drice	rpr
CG8677	rept
robo1	Rac1
Ret	Irk2
pnr	RhoGEF64C
stwl	rpr
PIG-B	PIG-B::Tcas\PIGB
ci	dap
CadN	Sema1a
rumi	eys
Lis-1	DCTN1-p150
bel	CycB
Axn	lgs
Dp|E2f1	ksh-19
egr	Rel
vex	Rel
CycE	RpS19b
Pak	Rho1
Nsf2	GS3087
BG02514	foxo
hid	wech
kn	Orai
Ret	Delta
PXo	Mob4
TBPH	CG42458
tkv	Rbf
Su(var)3-3	CG11779
Adck1	Opa1
Xbp1	upd3
M1BP	wg
rho	Pc
Xbp1	cnc
brat|insb	dpn
RhoGAP18B	Efa6
cno	scrib
yki	Utx
fra	Src42A|Src64B
Rbf	EcR
shg	nej
RacGAP84C	SNF4Aγ
gl	E(gl)3C
RhoGEF2	Ras85D
SkpA	kay
Bx	CG4080
Bub3	DNAlig4
bmm	Lsd-2
px	S|ast
Pi3K92E|btl::Egfr	pnt
egr	Rac1
H	heix
dbo	GluRIIA
rux	CycB
Mad|tkv	yki
tup	sc
ptc	CycD|Cdk4
fzr	CycA
shg	Myo61F
SCCRO3	SCCRO
eyg	N
spdo	Delta|neur
fz2	Itgbn
rpr	Imp
Rh7	gl
Sbf	mtm
mir-125	chinmo
Diedel	key
spg	Ced-12
ZnT86D	Zip48C
Ire1	Atg8b
hep	foxo
Dp|E2f1	ksh-16
fz	arm
ord	pch2
Delta|lola|psq	Arf1
Stat92E	drn
Tgi	CtBP
rsh	Octβ2R
rdgA	su(rdgA)40
ap|Bx	EP3-934
dome	Dronc
Ppt1	shi
pnr	EP1020
fru	Fmr1
Slik	Raf
ss	sta
Rheb	Sin1
Dll	hth
capt	Khc
scny	Diap1
ct	CG17075
α-Spec	yki
InR	RpL8
spict	gbb
MICU1	Buffy
btl::Egfr	Sumo
nab	puc
ex	wg
Src64B	drk
Ras85D	dgt2
Lkb1	msn
Ptp69D	Lar
Pvr	ago
hid	pnut
sm	TBPH
Vang	fz|fz2
Ras85D|l(2)gl	Src64B
Raf	EMC3
Ras85D	tay
Rab2	ICA69
frac	sax
mirr	fng
L	mir-278
trc	Rho1
blow	Hem
hep	PEK
vg	Nipped-A
dom	MRG15
hng1	Ctps
PGRP-LF	hep
β3GalTII	Hs3st-B
hiw	Atg2
Arf6	wg
Pvr	tou
dsh	sqh
Dp|E2f1	pnt
pnr	wg
l(2)gd1|ft	dpp
shg	CadN
Snr1	dlp
cic|tor|trk	Stat92E
tkv	Dap160
ct	mts
ND-42	Wwox
wake	Pdfr
sli	vkg
stwl	nanos
wts	cpb
Bsg	fne
Nsf2	Gli
grim	Rab11
Rca1	shot
smi28E	smi27E
sns	Vrp1
br	E(br)333
pbl	Rop
piwi	hh
nanos	E(z)
hop	CG4793
mod(mdg4)|ash1	trx
Bx	tup
hts	Gcn5
slim	p38a
CaMKII	Fak
Ras85D|dlg1	ImpL2|gbb
baz	zip
sev	mRpL55
fz|fz2	arm
bw	Mod(Prat:bw)3-11
Mlf	N
gcm	E(bx)
sens	Pc
Grd	alka|SecCl
dom	CG5181
Csk	SCAR
Bub3	trbl
rno	Rbf
pnr	glec
ClC-b	Rel
Snr1	CycE
conu	Arf6
CtBP	dac
Cka	Jra
wg	eRF3
Fbxl7	wts
hid	Cbl
lili	bam
para	pum
mats	yki
Bub3	wg
Prosβ5	kel
drm	bowl
Dp	Fs
sc	ase
hng1	hth
Delta	ci
pnr	EP853
tkv	bam
Ppt1	zip
Osbp	CG33298
puc	Glyat
smo	E(smoDN)N
Skp2	CycE
Egfr	fz
Cubn2	Rab5
Itpr	Ilp2
vap	Appl
gl	E(gl)2F
prel	bsk
Polr2B	su(RpII140<up>Z36</up>)S3
Caf1-105	N
Raf	scrib
spn-A	barr|vls
sdt	l(2)gl
ro	osa
nej	spi
Pvr	Stat92E
rl	mago
Psi	Exn
Brd	Delta
spn-E	Ste
ct	otu
mod(mdg4)	Su(mg)1-6
pbl	Ide
osk|btz	CG7483
kuz	pros
N	E(spl)m7-HLH
pbl	Dad
Daxx	bsk
Dfd	ale
DCTN2-p50	Khc
Zip89B	foi
ph-p|y	sn
tut	Cpsf73
bw	Mod(Prat:bw)2-1
nej	Kr
N	Tlk
shot	Septin2
robo2	Ptp69D
Smox	Cpr67Fa2
Kr	l(2)08492
Dp|E2f1	mor
Psc	psq
dlg1	baz
Marcal1	E(Pc)
sli	kra
Prosβ6|Prosβ2	DnaJ-1
mir-34|mir-277|Fmr1	Eip74EF
ppo	H
hh	cos
p53	Hr3
sina	CE2-1
Mad1	Sas-4
Paris	Pink1
wts	bmm
Hr39	ftz-f1
egr	PpV|fmt
sdk	shg
Decay	Atg9
Debcl	Prosα2
brm	AhcyL1
Raf	dind
tra	fru
ph-p	dom
Nab2	Gαo
sisRNA:2	brat
L	hh
pnr	XNP
Smn	CG13775
ham	Su(H)
MAPk-Ak2	bsk
Abd-B	Pc|chm
Myt1	rux
NT1|Toll-6	Toll-7
hng1	hng2
insv|H	insb|Tes|CG14478|qkr54B
Pink1	Lon
abd-A	pb
PGRP-LE	Fadd
HUWE1	Myc
Eogt|Dcr-2	Su(H)
tna	tara
smo	E(smoDN)1414
dock	trio
ph-p	trx
ecd	Ras85D
Amun	H
Myc|ref(2)P	cnc
Ih	Ork1
PTP-ER	alph
Egfr	ebi
rdgA	sktl
kibra	Diap1
Mrp4	puc
peb	Egfr
Prosβ2	H
shg	pan
sax	nej
Uba1	N
rpr	spoon
upd1	Hipk
kermit	zip
rho	Vps20
E2f2|E2f1	CycE
btl|stumps	EP712
L	Jra
Notum	dally
Pc	e(y)3|Bap170
dsh	ex
brm	dlp
Nab2	Appl
Chi	Xbp1
l(1)sc	Hr3
ec	bsk
Gp150	N
hid	eff
Dfd	M(3)65F
pk	Khc
Pten	Pdha
Pvr	Manf
H	Men
Lam	EcR
vtd	park
pnr	EP2419
Pi3K92E	ap
eas	SREBP
msn	bun
Dref	E2f1
Bx	trn|caps
vg	Diap1
mam	sno
L	esg
Apc2|Apc	Egfr
rod	Sxl
Atg1	Pcf11
sdt	scrib
btl|stumps	skd
brk	puc
Ras85D	MESR3
chb	shn
Pink1	Atg1
crol	CycB
pbl	pav
Lim1	Bar
run	M(1)8F
Dg	del
kek1	ed
H	CycB
ush	srp
tut	CstF50
hid	Dark
hid	Bruce
hid	egr
wg	Ref1
robo1|sli	dock
Eogt|Dcr-2	r-l
so	Cpsf100
Lkb1	AMPKα
Kr	CCT8
bol	twe
Drl-2	Wnt5
Tpi	Pgi
Mkp3	Raf
Pc	Rm62
kay	Rho1
pbl	Men
vg	1297
vas	bel::vas
gbb	gbb::Hsap\BMP7
ninaE	fred
Delta	Not3
Dcp-1	rpr
wts	Prp4k
sei	Fas2
Fas2	mys
tow	Rok
Adar	Rdl
hpo	Dronc
trc	Pfk
pbl	Fit1
Rrp4	Atg1
pbl	robl37BC
Nsf2	Gdi
Ret	l(3)S023901
Pi3K92E|btl::Egfr	Rbf
Nipped-B	Myc
Not1	E(z)
Pak	bsk
neur	Delta
pnr|HDAC1	CtBP
Rabex-5	Stat92E
RpS3|Delta	H
crb	Rok
fzr	asp
zfh2	Ras85D
Nab2	dsh
Pax	Mp20
sc	e(y)3
Actβ	sev
btl::Egfr|Pi3K92E	Tsc1
DJ-1α	Akt
N	α-Cat
Slmap	Nuak
rst	E(rst)H125
Ras85D::Src64B	ksr
faf	14-3-3ζ
pbl	for
hop	mfas
Met	fru
PTP-ER	Ras85D
Ras85D	baz
ct	CR43670
Raf	hh
AP-2α	step
tay	rl
hep	Rac1
park	ref(2)P
cindr	Herc4
egr	Myc
PGRP-SD	Ldh
Appl|Bace	Nep1
wts|sav	Tao
Sh|eag	Gαs
Dad	nwk
Irk2	tkv
mahj	puc
Pdfr	Nf1
Patronin	wts
aop	Raf
ed	Delta
Gk1	ry
H	cnk
btl::Egfr	bol
Cka	Nuak
miple1	aos
vg	Tgi
prom|eys	Rok
Spn27A	Hayan
Snr1	bowl
pbl	Gr5a
Ldh	Gpdh1
sev|Ras85D	frc
14-3-3ε	Ras64B
Vps35	wit
rho	Hrs
L	Cul4
ey	hth
prom	crb
meigo	Eph
pths	Tsc1
Toll-7	Tollo
twin	pum
Ras85D|Rox8	yki
Gyc76C	Ras85D
brm	Sox14
Drice|hid	Dcp-1
mys	wb
ds	wg
Hipk	yki
ph-d	Hsc70-4
aux	rho
sca	sca::Hsap\FGA
Burs	Egfr
milou	Dp
wit	trio
Vang	fz
baf	lok
H	Hr4
ct	z
hid	Rcc1
SAK	Sas-4
Trf2	AANATL2
wun2|wun	srp
yki	AspRS
br	Rho1
smo	E(smoDN)548
pnr	Hmt-1
Src64B	bsk
Snr1	S
hid	Ae2
brm	Spn88Ea
pbl	shn
sim	CycE
klhl10	ScsβA
CtBP	dan|danr
Wnt2	pan
btl	kni
parvin	wech
Rab3-GAP	GluRIIA
nab	hid
ph-p	Eip75B
brm	nuf
Smn	Zmynd10
fz	sqh
sc	su(sc)r
heph	TBPH
Smn	shrb
upd3	Egfr
bib	N
Pink1	Rel
Ras85D|emei	POSH
peb	l(3)L3930
E2f1	mir-11
Pld	Ser|Delta
Ih	cac
GlcAT-P	Tb
hop	ush
p53	Hr4
spz5|kek6	Vap33
Ras85D|scrib|kay	Ets21C
Dg	Delta
p53	Pi3K92E
Pp2B-14D	Mef2
N	shg
Vap33	mTor
Lrrk|foxo	hid
PGRP-LE	Rel
L	CG12054
Snr1	Sod2
obk	wg
htt	Klc
br	Sec61α
Snr1	Kdm2
Liprin-β	Liprin-γ
eys|prom	crb
eas	ACC
RacGAP84C	babos
H	lap
robo1|chb	robo2
peb	rols
Gαq|rdgC	Arr2
svr	y
Pink1	Mvl
ap	fng|mew
ctp	DCTN1-p150
ksr::tor	S
Pvr	CG10321
Tsc1|gig	CycD
Hem	dock
tefu	wrd
baz	muskelin
rpr	Raf
H	Rho1
baz	Arf1
wg	Sox15
hkb	CycE
Toll-6	Myd88
Brca2	lok
lap	EP3303
dom	brwl
vn	Prosβ2
RYBP	Fadd
ihog|boi	mys
Dys	aos
Strn-Mlck	yki
Pc	Vha55
Egfr	E(Egfr)C22
vap	Ras85D
Itpr	bsk
para	chn
osi	wal
trol	btl
tkv	fu|Smurf
Psn	Diap1
N	upd1
bcd	hb|tsl
gl	E(gl)2A
Bx	l(3)04708
yki|hid	Ack
DAAM	Btk
klu	arm
Cnx99A	para
bw	Mod(Prat:bw)3-8
sgl	wg
Snr1	bsk
brm	Hex-A
Hsc70-5	Vps15
Ufo	Mow
pcx	N
Nsf2	CCT7
Myt1	Incenp
sav|wts	Rassf
bsk	Ldh
lola|psq|Delta	Mp20
ksr::tor	msn
msl-1	lic
Ube3a	tkv
spin	sax|tkv
mei-41	CycB
CycB	Arp1
tum	Cdc42
asun	Dhc64C
bw	Mettl3
Ras85D|scrib	sog
bul	cln
Tm1|osk	E(To)12
comm	robo2
β-Spec	sli
Dcp-1	br
SCCRO4	SCCRO3
Iswi	wun
Egfr	hppy
Mitf	Rab2
spi	sty
EP595a	N
park	cn
ct	Elp4
tut	bam
Ras85D	Diap1
S	E(S)
Pink1	Miro
lncRNA:SMRG	sc
rst	α-Cat
Pi3K92E	Prp8
ifc	schlank
Antp	mor
Sox21a	bsk
Zip99C|Pink1	mfrn
CycE	S(Sev-CycE)D16
cpa	vg
CycE	arm
hop	EMC3
Trhn	ple
wg	RpS21
run	HDAC1
upd1	put
bonsai	Dp
sd|vg	sd::vg
fmt	hep
S	pnut
S6kII	Pdk1
Graf	RhoGEF2
N	Pi3K68D
Dref	l(2)k07308
cort	Cks30A
faf	S(faf)196
yki	Smurf
y|sc	z
nkd	pan
wrd	sgg
Pten	Pfk
yki	βggt-I
jus	Sh
Pdk1	S6k
Psn	AP-1μ
kek6	Vap33
sd	Trl
sgg	Cul1
Dsor1	Src42A
RhoGAP19D	gek
Pka-R1	capt
hbs	sns
pnr	tin|Doc2
MetRS-m	Pdha
Egfr	l(3)j2D5
Delta|lola|psq	Ilp8
arm	Cdk1
Cul2	tkv
Pi3K92E|btl::Egfr	Hex-A
Snr1	Sema1b
mi	mir-11
H	EP1595
Smox	CG10089
brat	btd
Nsf2	polo
mor	EloA
sev	ssh
ex	CycD|Cdk4
Rel	Tl
p	Rab32
Atg1|Atg13	Idit
RpS3	RpS12|Xrp1
ZnT86D	Zip88E
emb	mbo
Ras85D|l(2)gl	PpV
E(z)	dom
syd	hpo
lncRNA:roX1	dop
iav	CanA1
Smox	InR
Ras85D|dlg1	bsk
Hcf	skd
shg	Vang
nanos	Drice
Nlg4	tkv
dlg1	vg
Dhpr	Drp1
numb	erm
bbc	Pisd
pbl	zip
IKKε	ctp
tws	Irbp
hec	fru
shr	abb
Pi3K92E|btl::Egfr	RIOK2
al	Gug
sna	elA
aurA	sqh
fzr	ppk
w	e(y)3
Bet3	Rab1
Hsc70-5	EndoA
brm	unc-104
mir-ban	Myc
mbt	tsr
ft	Zyx
Ntan1	htl
Gug	Atg5
ninaE	Kpc2
brat	Apc2
Trl	Nelf-A
Diap1	AGO2
kn	Pak3
gbb	CG3632
BubR1	InR
slmb	Cul1
trx	btd
hid	mir-14
su(Hw)|ct	ap
puc|flw	bsk
garz	Arf1
sc|sisA	msl-2
pnr	wech
Socs36E	Stat92E
dom	CG8289
osk	Su(osk)H1
Kr	emc
Mical	SelR
kermit	Sema1a
N	klg
Pi3K92E	E-2fb
dnc	cff
N	Ndfip
qua	spoon
aos	msk
ato	sc
E2f1	Mi-2
Pi3K92E	Rheb
so	cry
nwk	tkv
klar	Lam
sd	Fab-7
Dg	dpp
caps	Kr
mira	Su(Mir)1A4-1
Rala	Delta
Atg1	foxo
InR	Gnmt
mib1	α4GT1
ZnT63C|Zip42C.1	ZnT77C
scrib	Socs36E
Chchd2	Mitofilin
Ras64B	cno
Rac1	EP1207
Hsc70-5	dor
vg	Sce
eyg	ey::eyg
pnr	ppo
hoka	aPKC
Pc	Caf1-180
trc	Pyk
TyrRS	Mmp2
Ras85D	SR3-8
Smox	RfC3
tko	mRpL14
Rho1	Tak1|slpr
pnut	rdgB
Myc	stg
SH3PX1	RyR
PolH	lok
pnt|foxo	aop
eve	egl
DCTN1-p150	Sirt2
trp	Pink1|park
modSP	Gyc76C
Mps1	alt
Antp|Pc	mor
pbl	kis
ninaE	Smg5
sev|Ras85D	l(3)06743
ed	Ras85D
ND-75	Wwox
arm	dlg1
Delta	E(Delta)F42
twi	Mef2|br
asp	Wdr62
Dg	nAChRα6
PIP4K	Rheb
dgo	pk
shg	Cdk1
pnr	EP1154
gig|Rbf	E2f1
PDZ-GEF	Raf
Ras85D|lncRNA:Hsrω	Raf
AspRS	Dp
seq	pnt
ct	CG15236
H	bs
pr	su(sable)
Rbf	tara
hep	pyd
hpo	Zyx
Tsc1|gig	CycE
FIG4	Rab7
Dfd	Diap1
elav	Sxl
bchs	btv
Ire1	Xbp1
ens	Sas-4
shakB	ogre::shakB
Bl	E(f)
synr	Dcp-1
shf::Drer\wif1	dlp
baz	par-1
ath	Non1
yki	mew
pnr	H15
Graf	Ras85D
His1	p53
ct|lncRNA:flam	Dcr-2
Pi3K92E	mTor
Pp2B-14D	CE2-3
N	orb2
mei-218|nod	lwr
Timp	Fmr1
Timp	gbb
tor	tup
hng1	dpp
Tak1	msn
dac	ey
gbb	kek5
Vps35	wg
tna	kis
aux	Vamp7
pros|Chro	grh
Dsor1	ER2-3
Pxt	sn
Mer	dpp
Pvr	mbc
ap|Bx	shn
LIMK1	Rac1
Abd-B	corto
Nlg4	Rdl
mew	Tsp
nopo	ben|Uev1A
Sos|sev	ebi
EcR	Nrg
WASp	H
Pvr	Tlk
puc|flw	zip
nmo	Egfr
Sodh1|Sodh2	Mondo
shot	shi
Torsin	Cnep1r2
Pc	mor
norpA	Dronc
Dcp-1	Uba2
wts	sd
Hmgcr	Mdr49
w	whg
Zip71B	Zip42C.2
Src64B	Egfr
Rap1	Rala
dsh	Rho1
polo|gwl	mts
pbl	Mbs
Ser	l(2)gd1
dpy	Sar1
bw	blanks
shv	mys
p	g
Paip1	Xrp1
chico	B4
Hipk	upd3
Delta	px
tor	sty
Brd	N
sn|m|f	sha
Vps35	Rac1
sc	E(spl)mγ-HLH
bnl	sr
Rac1	alph
tll	pros
Ras85D|scrib	zip
peb	babo
yki	brm
Snoo	babo
arm	skd
Ret	Src64B
cnk	Btk
dally	sfl
Mitf	Lamp1
spi	edl
rpr	cln
DCTN1-p150	nesd
pnt	foxo
fng	Egfr
phyl	dbr
Rho1	puc
Rac1	conu
Smox	Cpr57A
nmo	E(spl)mβ-HLH
car	w
Ras85D|p53|CycE|Med	Src42A
Pc|Antp	Pcl
p115	Myt1
pnr	DNAlig4
su(Hw)|y	esc
amos	Delta
Hsc70-5	Sytβ
btl::Egfr	NFAT
Raf	Su(phl)9
cno	Ras85D
FASN1	Lpin
Gtpx	Cat
Spn27A	PPO2
Mitf	Tsc1
Cds	Seipin
ms(3)HO5A	su(msm1)
Dcp-1	Usp47
w|Scm|su(Hw)	ph-p
stumps	Ras85D
Marcal1	osa
rpr	Mnr
w	Doa
chm	hep
S	step
hh	Nipped-B
BEAF-32	sd
Apc	arm
E2f1	pan
mTor	Atg5
Delta	mir-7
ey	tkv
fzr	shakB
Nab2	Bsg
CycE	E(Sev-CycE)G66
sens	Caf1-55
Toll-6	Toll-7
Lrrk	Fer2
ninaE	Diap1
Ras85D|p53|CycE|Med	aurB
dsh	Wnk
pHCl-2	mTor
Pten	Rac1
mbt	cno
w	Ufo|Wow
Vap33	CG6048
mam	dsh
Polr2B	scf
Cln3	flfl
salm	ct
Liprin-α	sgg
Ras85D	tsu
ago	Vhl
btd	Dll
gcm	pim
ap|Bx	14-3-3ε
rictor|Pink1	Marf
Crtc	Akt
Cp110	Sas-4
Idh	Diap1
Axn	Hipk
Ras85D|scrib	Ets21C
Sox21a	Mmp1
CycE	S(Sev-CycE)D2
sli	vg
otu	SP
ro	gl
