Interactor 1	Interactor 2
dpr6	dpr10
brm	CtBP
smo	Kdm4A
sl	Pkc53E
Rab19	sli
ap	H
Pi3K92E	E-3c4
Abd-B	Pc
w	Cmtr1
l(3)mbt	ex
Nab2	drk
Kr	ex
N	Akt
mio	mei-W68
arm	trbd
Ras85D|p53|Apc|Pten	Tsc1
upd1	dpp
Pp2B-14D	CE3-2
dj-1β	Daxx
Ube3a	Pu
lncRNA:acal	bsk
trc	CG4230
ash1|trx	Su(z)6
Dys	Sema1a
dpp	eIF4A
Dg	grh
Appl	hbs
Snr1	ab
robo1	Abl
Dhpr	park
Rab11	Nin
Dcp-1	mTor
pbl	Cyp6v1
Delta	mirr
Itpr	Ras85D
L	wun
ninaE	TER94
Myc	Desat1
lz	aop
Sod1	ND-51L1
mGluR	CaMKII
bchs	Diap1
aux	Dsor1
Dys	capt
put|I-2	tkv
Pink1|trc	Atg1
H	Dlat
LIMK1	sick
dom	maf-S
rpr	Hsp60D
DCTN1-p150	SG46
mir-958	dpp
Pld	N
pkm	Hsp23|Hsp26
anne	HDAC6
Nazo|CG3740	bmm
wor	SoxN
CycE	skd
sl	Dcr-2
Ras85D	Sec61β
rpr	pho
hh	Su(hh)I
pbl	Src64B
fzy	AIF
N	Xxylt
kis	N
cnk	aop
Liprin-α	Liprin-γ
hb|nanos	mxc
SAK	ncd
Smn	Fim
jus	shg
Uch	chico
ND-19	Fer3HCH
Sema1a	sgl
jus	E(sda)C
Pink1	DJ-1α
E2f1	Diap1
gcm	robo1
rux	S(rux)2C
Rac1|sli	Pak
sev|Sos	aop
pr	w
lap	cnc
ms(3)K81	HipHop::ms(3)K81
cos	Axn
Camta	Gαq
ago	bnl
Spn27A	ea
Pvr	NFAT
dally	put
polyph	Eaat1
Nmnat	axed
pnr	eIF1A
Burs	vn
mys	CaMKII
Pink1	Pop2
bw	crol
nord	Mad
Ras85D	ZnT86D
cn	Drp1
L	kek1
ds	dpp
Chchd2	Marf
Dg	kek1
kis	Cbl
Dronc	Usp7
Snmp1	Or83c
ksr::tor	Sos
Tollo	dpp
cv-c	Dyb
Tsc1|gig	CstF64
Cln3	RagA-B
baz	Septin5
Antp	dra
sev|Ras85D	fray
Kat60	HDAC6
sev	Cdc37
Usp14	Ubi-p63E
ATPsynCF6	sima
CycE	S(CycE<up>JP</up>)3.1
scrib	Xbp1
Myc	L2HGDH
N	Nle
Eogt|Dcr-2	N
Snr1	Jarid2
Nadk1a	Pdhb
numb	mam
Ser	trr
Mnn1	Jra
Ras85D	hh
Rbf	mam
Nf1	Sos
Ras85D|scrib	JhI-21
Amph	Fas2
dpp	eya
EcR	hid
spict	wit
Rab21	Egfr
Axn|Rbf	raptor
p53	ninaA
ftz	Gug
park	Thor
qsm	Shaw
Vha68-1	Vha68-3
spict	sax
dsh	Jra
lola	futsch
